document_id,set,question,answer1,answer2,question_tokenized,answer1_tokenized,answer2_tokenized
00fb61fa7bee266ad995e52190ebb73606b60b70,valid,WHO NORMALLY DELIVERS THE OPENING PROLOGUE IN THE PLAY?,THE ACTOR WEARING THE BLACK CLOAK,The actor in the black cloak ,WHO NORMALLY DELIVERS THE OPENING PROLOGUE IN THE PLAY ?,THE ACTOR WEARING THE BLACK CLOAK,The actor in the black cloak
00fb61fa7bee266ad995e52190ebb73606b60b70,valid,WHAT NAME WAS CYNTHIA MORE FAMOUSLY KNOWN BY?,THE GODDESS DIANA,The goddess Diana,WHAT NAME WAS CYNTHIA MORE FAMOUSLY KNOWN BY ?,THE GODDESS DIANA,The goddess Diana
00fb61fa7bee266ad995e52190ebb73606b60b70,valid,WHO DOES ECHO WEEP FOR?,NARCISSUS,Narcissus,WHO DOES ECHO WEEP FOR ?,NARCISSUS,Narcissus
00fb61fa7bee266ad995e52190ebb73606b60b70,valid,WHAT DOES A DRINK FROM NARCISSUS'S SPRING CAUSE THE DRINKER TO DO?,FALL IN LOVE WITH THEMSELVES,Grow dotingly enamored with themselves ,WHAT DOES A DRINK FROM NARCISSUS S SPRING CAUSE THE DRINKER TO DO ?,FALL IN LOVE WITH THEMSELVES,Grow dotingly enamored with themselves
00fb61fa7bee266ad995e52190ebb73606b60b70,valid,IN WHAT VALLEY DID THE SOLEMN REVELS OF CYNTHIA TAKE PLACE?,GARGAPHIE IN GREECE,Gargaphie ,IN WHAT VALLEY DID THE SOLEMN REVELS OF CYNTHIA TAKE PLACE ?,GARGAPHIE IN GREECE,Gargaphie
00fb61fa7bee266ad995e52190ebb73606b60b70,valid,WHAT DID THE  SYMBOLIC VICES DISGUISE THEMSELVES TO BE?,VIRTUES,Virtues,WHAT DID THE SYMBOLIC VICES DISGUISE THEMSELVES TO BE ?,VIRTUES,Virtues
00fb61fa7bee266ad995e52190ebb73606b60b70,valid,WHAT SENTENCE DID CYNTHIA GIVE TO THE SYMBOLIC VICES?,TO BATHE IN THE SPRING OF HELICON,Make reperations and purify themselves.,WHAT SENTENCE DID CYNTHIA GIVE TO THE SYMBOLIC VICES ?,TO BATHE IN THE SPRING OF HELICON,Make reperations and purify themselves .
00fb61fa7bee266ad995e52190ebb73606b60b70,valid,WHO DRANK FROM THE SPRING AT CYNTHIA'S REVELS?,ALL THE COURTIERS AND LADIES WHO ATTENDED CYNTHIA'S REVELS,The courtiers and ladies that are there and Asotus ,WHO DRANK FROM THE SPRING AT CYNTHIA S REVELS ?,ALL THE COURTIERS AND LADIES WHO ATTENDED CYNTHIA S REVELS,The courtiers and ladies that are there and Asotus
00fb61fa7bee266ad995e52190ebb73606b60b70,valid,HOW MANY PHASES DID THE COURT COMPLIMENT COMPETITION HAVE?,4 PHASES,2,HOW MANY PHASES DID THE COURT COMPLIMENT COMPETITION HAVE ?,4 PHASES,2
00fb61fa7bee266ad995e52190ebb73606b60b70,valid,WHO CHALLENGES THE COURTIERS TO COURT COMPLIMENT COMPETITION?,ASOTUS,Asotus,WHO CHALLENGES THE COURTIERS TO COURT COMPLIMENT COMPETITION ?,ASOTUS,Asotus
00fb61fa7bee266ad995e52190ebb73606b60b70,valid,How many phases does the competition have?,Four.,four,How many phases does the competition have ?,Four .,four
00fb61fa7bee266ad995e52190ebb73606b60b70,valid,Who does Diana represent?,Queen Elizabeth.,Queen Elizabeth ,Who does Diana represent ?,Queen Elizabeth .,Queen Elizabeth
00fb61fa7bee266ad995e52190ebb73606b60b70,valid,Who is sleeping at the beginning of the play?,Echo,Echo,Who is sleeping at the beginning of the play ?,Echo,Echo
00fb61fa7bee266ad995e52190ebb73606b60b70,valid,Where is Narcissus's spring?,Gargaphie Valley Greece.,Gargaphie ,Where is Narcissus s spring ?,Gargaphie Valley Greece .,Gargaphie
00fb61fa7bee266ad995e52190ebb73606b60b70,valid,Which two societies are aligned in this play?,Greek mythology and Queen Elizabeth's Court,Greece and England,Which two societies are aligned in this play ?,Greek mythology and Queen Elizabeth s Court,Greece and England
00fb61fa7bee266ad995e52190ebb73606b60b70,valid,Where do the dancers purify themselves?,Mount Helicon,in the spring at Mount Helicon,Where do the dancers purify themselves ?,Mount Helicon,in the spring at Mount Helicon
00fb61fa7bee266ad995e52190ebb73606b60b70,valid,Which page performs the dialogue?,Anaides,Anaides ,Which page performs the dialogue ?,Anaides,Anaides
00fb61fa7bee266ad995e52190ebb73606b60b70,valid,Who enters with Mercury?,Cupid,Cupid,Who enters with Mercury ?,Cupid,Cupid
00fb61fa7bee266ad995e52190ebb73606b60b70,valid,Who is the 2nd Earl of Essex?,Robert Devereux,Robert Devereux,Who is the 2nd Earl of Essex ?,Robert Devereux,Robert Devereux
00fb61fa7bee266ad995e52190ebb73606b60b70,valid,From where does this play originate? ,Church choir,Boys' company,From where does this play originate ?,Church choir,Boys ' company
00fb61fa7bee266ad995e52190ebb73606b60b70,valid,What are people arguing about as the story begins?,A black cloak ,the black cloak ,What are people arguing about as the story begins ?,A black cloak,the black cloak
00fb61fa7bee266ad995e52190ebb73606b60b70,valid,Who announces the events that are to come to the dismay of the others on stage?,Anaides,Anaides,Who announces the events that are to come to the dismay of the others on stage ?,Anaides,Anaides
00fb61fa7bee266ad995e52190ebb73606b60b70,valid,What is another name for the Goddess Diana?,Cynthia,Cynthia,What is another name for the Goddess Diana ?,Cynthia,Cynthia
00fb61fa7bee266ad995e52190ebb73606b60b70,valid,What does Diana order to take place  in the valley of Gargaphie?,Solemn revels,solemn revels ,What does Diana order to take place in the valley of Gargaphie ?,Solemn revels,solemn revels
00fb61fa7bee266ad995e52190ebb73606b60b70,valid,Why does Asotus become emboldened by vanity and self -love?,He drank from Narcissus' spring ,He drank from Narcissus' spring,Why does Asotus become emboldened by vanity and self -love ?,He drank from Narcissus ' spring,He drank from Narcissus ' spring
00fb61fa7bee266ad995e52190ebb73606b60b70,valid,What challenge does Asotus propose to all comers?,"""Court Compliment""","to a competition of ""court compliment""",What challenge does Asotus propose to all comers ?,Court Compliment,to a competition of court compliment
00fb61fa7bee266ad995e52190ebb73606b60b70,valid,What does Diana tell the courtiers to do after the dance?,Purify themselves by bathing in a sacred spring,unmask,What does Diana tell the courtiers to do after the dance ?,Purify themselves by bathing in a sacred spring,unmask
00fb61fa7bee266ad995e52190ebb73606b60b70,valid,What effect does the spring of Narcissus have on those who drink from it?,Grow enamored of themselves,They become enamoured with themselves.,What effect does the spring of Narcissus have on those who drink from it ?,Grow enamored of themselves,They become enamoured with themselves .
00fb61fa7bee266ad995e52190ebb73606b60b70,valid,Who awakens Echo?,Mercury,Mercury,Who awakens Echo ?,Mercury,Mercury
00fb61fa7bee266ad995e52190ebb73606b60b70,valid,Who does Cynthia represent in the masque?,Queen Elizabeth,Queen Elizabeth,Who does Cynthia represent in the masque ?,Queen Elizabeth,Queen Elizabeth
08ac6c0dca91fee93d27c7caf85bb57e17d4fc46,test,What is Ben Du Toit's profession in the story?,Ben is a South African school teacher in an all white school during apartheid. ,Teacher,What is Ben Du Toit s profession in the story ?,Ben is a South African school teacher in an all white school during apartheid .,Teacher
08ac6c0dca91fee93d27c7caf85bb57e17d4fc46,test,How does Ben know Gordon?,Gordon is the son of Ben's gardener. ,Gordon is his gardener. ,How does Ben know Gordon ?,Gordon is the son of Ben s gardener .,Gordon is his gardener .
08ac6c0dca91fee93d27c7caf85bb57e17d4fc46,test,Why does Gordon ask Ben for help?,Gordon gets beaten by white police and caught during a protest. ,because he was beat up by a white police officer,Why does Gordon ask Ben for help ?,Gordon gets beaten by white police and caught during a protest .,because he was beat up by a white police officer
